      xC  |      f(xC)
 0.696081  |     0.094655
 0.721778  |     0.077485
 0.771846  |     0.055677
 0.782373  |     0.047504
 0.858758  |     0.023204
 0.858758  |     0.023204
 0.864348  |     0.019140
 0.926389  |     0.007637
 0.926389  |     0.007637
 0.928462  |     0.005786
 0.971699  |     0.001186
 0.962963  |     0.001376
 0.980139  |     0.000967
 1.006051  |     0.000182
 1.006051  |     0.000182
 1.006125  |     0.000060
 1.001776  |     0.000030
 0.989925  |     0.000130
 0.995588  |     0.000036
 1.001250  |     0.000006
 0.997631  |     0.000007
 1.000083  |     0.000000
 0.998769  |     0.000006
 0.998529  |     0.000002
 0.999366  |     0.000001
 1.000322  |     0.000000
       xC  |        f(xC)
 0.500000  |  3906.500000
 0.500000  |  3906.500000
-1.000000  |  1060.250000
-1.000000  |  1060.250000
-0.437500  |   134.856018
 0.468750  |    41.447483
-0.023438  |    39.554964
-0.492188  |    66.341910
-0.468750  |     6.243626
-0.468750  |     6.243626
-0.169922  |     1.436025
-0.169922  |     1.436025
-0.180908  |     1.939773
-0.130188  |     1.289774
-0.130188  |     1.289774
-0.007187  |     1.118466
-0.066891  |     1.138489
-0.020316  |     1.063587
 0.046575  |     0.960880
 0.110494  |     0.810575
 0.174414  |     0.699076
 0.107523  |     0.810062
 0.146047  |     0.729870
 0.213992  |     0.636493
 0.217322  |     0.613247
 0.293592  |     0.499387
 0.369861  |     0.413792
 0.399724  |     0.363930
 0.429587  |     0.325443
 0.505857  |     0.350408
 0.490119  |     0.280392
 0.481445  |     0.285912
 0.513477  |     0.240751
 0.579987  |     0.179430
 0.600286  |     0.160001
 0.717542  |     0.101461
 0.717542  |     0.101461
 0.729572  |     0.087746
 0.741601  |     0.076263
 0.753631  |     0.066607
 0.765660  |     0.058421
 0.777690  |     0.051396
 0.789720  |     0.045278
 0.801749  |     0.039859
 0.848354  |     0.058092
 0.819415  |     0.036026
 0.799590  |     0.040368
 0.810701  |     0.035991
 0.828168  |     0.032221
 0.825399  |     0.031417
 0.835945  |     0.027307
 0.857124  |     0.020867
 0.888804  |     0.012944
 0.920485  |     0.008524
 0.930811  |     0.005023
 0.943894  |     0.003284
 0.975574  |     0.005415
 0.956463  |     0.003309
 0.945401  |     0.003306
 0.952191  |     0.002955
 0.963137  |     0.001821
 0.978680  |     0.000588
 0.994222  |     0.000075
 0.997062  |     0.000266
 1.007299  |     0.000080
 0.998201  |     0.000009
 1.003698  |     0.000017
 1.000523  |     0.000000
 1.000038  |     0.000026
 0.998815  |     0.000005
 0.997591  |     0.000007
 0.998692  |     0.000002
 0.999883  |     0.000000
 1.000226  |     0.000000
       xC  |        f(xC)
 0.500000  |  4556.500000
 0.500000  |  4556.500000
-1.125000  |  1091.454102
-1.125000  |  1091.454102
-0.515625  |   134.131918
-0.507812  |     6.239878
-0.507812  |     6.239878
-0.507812  |     6.239878
-0.184082  |     1.496375
-0.299927  |     3.631736
-0.167023  |     1.458151
-0.167023  |     1.458151
-0.029408  |     1.105351
-0.029408  |     1.105351
-0.052783  |     1.110162
-0.027900  |     1.065174
 0.024884  |     0.976938
 0.093125  |     0.844874
 0.183045  |     0.700614
 0.135681  |     0.751959
 0.170403  |     0.690031
 0.214561  |     0.618115
 0.285518  |     0.511438
 0.356474  |     0.430455
 0.392709  |     0.369986
 0.428944  |     0.327176
 0.499900  |     0.321781
