        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
6.323627  6.323627  6.323627  |  0.078189  0.078189  0.078189
       xB         xP         xN  |     f(xB)     f(xP)     f(xN)
33.835397  33.835397  33.335397  |  0.526517  0.526517  0.466617
33.335397  32.835397  33.335397  |  0.466617  0.460348  0.452029
33.335397  33.335397  33.835397  |  0.452029  0.460363  0.452081
33.335397  33.335397  33.335397  |  0.452029  0.452029  0.452029
33.335397  33.335397  33.210397  |  0.452029  0.452029  0.451908
33.210397  33.085397  33.210397  |  0.451908  0.453285  0.451908
33.210397  33.210397  33.272897  |  0.451908  0.451908  0.451781
33.272897  33.335397  33.272897  |  0.451781  0.452029  0.451781
33.272897  33.272897  33.272897  |  0.451781  0.451781  0.451781
33.272897  33.272897  33.257272  |  0.451781  0.451781  0.451777
33.257272  33.241647  33.257272  |  0.451777  0.451797  0.451777
33.257272  33.257272  33.265085  |  0.451777  0.451777  0.451776
33.265085  33.272897  33.265085  |  0.451776  0.451781  0.451776
33.265085  33.265085  33.261178  |  0.451776  0.451776  0.451776
33.261178  33.257272  33.261178  |  0.451776  0.451777  0.451776
33.261178  33.261178  33.263132  |  0.451776  0.451776  0.451776
33.263132  33.265085  33.263132  |  0.451776  0.451776  0.451776
33.263132  33.263132  33.263132  |  0.451776  0.451776  0.451776
33.263132  33.263132  33.262643  |  0.451776  0.451776  0.451776
33.262643  33.262155  33.262643  |  0.451776  0.451776  0.451776
33.262643  33.262643  33.262887  |  0.451776  0.451776  0.451776
33.262887  33.263132  33.262887  |  0.451776  0.451776  0.451776
33.262887  33.262887  33.262765  |  0.451776  0.451776  0.451776
33.262765  33.262643  33.262765  |  0.451776  0.451776  0.451776
33.262765  33.262765  33.262765  |  0.451776  0.451776  0.451776
33.262765  33.262765  33.262796  |  0.451776  0.451776  0.451776
33.262796  33.262826  33.262796  |  0.451776  0.451776  0.451776
33.262796  33.262796  33.262796  |  0.451776  0.451776  0.451776
33.262796  33.262796  33.262796  |  0.451776  0.451776  0.451776
33.262796  33.262796  33.262792  |  0.451776  0.451776  0.451776
33.262792  33.262788  33.262792  |  0.451776  0.451776  0.451776
33.262792  33.262792  33.262792  |  0.451776  0.451776  0.451776
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-17.324104  -17.324104  -16.824104  |  0.560033  0.560033  0.491490
-16.824104  -16.324104  -16.324104  |  0.491490  0.430583  0.430583
-16.324104  -15.824104  -16.324104  |  0.430583  0.472796  0.430583
-16.324104  -16.324104  -16.074104  |  0.430583  0.430583  0.429783
-16.074104  -15.824104  -16.074104  |  0.429783  0.431700  0.429783
-16.074104  -16.074104  -16.074104  |  0.429783  0.429783  0.429783
-16.074104  -16.074104  -16.136604  |  0.429783  0.429783  0.429725
-16.136604  -16.199104  -16.136604  |  0.429725  0.429839  0.429725
-16.136604  -16.136604  -16.136604  |  0.429725  0.429725  0.429725
